trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
195,False,"{'a': 0.2, 'e': 0.14370394977770293}",30,17,22.87201666117481,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.2, 'e': 0.1422740715865136}",25,11,24.129045899924527,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.2, 'e': 0.140858420921045}",20,0,8.164983098551604,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.2, 'e': 0.13945685621505094}",20,7,23.04603609259067,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.2, 'e': 0.13806923731089282}",20,9,15.354899721194661,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.2, 'e': 0.13669542544552385}",20,12,-21.129952226529255,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
201,False,"{'a': 0.2, 'e': 0.1353352832366127}",25,0,-33.87677391186099,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
202,False,"{'a': 0.2, 'e': 0.13398867466880493}",25,0,23.13103648056069,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
203,False,"{'a': 0.2, 'e': 0.13265546508012172}",20,10,20.40673048110685,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.2, 'e': 0.13133552114849303}",20,5,22.33420374978601,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.2, 'e': 0.1300287108784259}",30,9,33.1578887603321,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.2, 'e': 0.12873490358780423}",25,3,-24.515562764953987,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
207,False,"{'a': 0.2, 'e': 0.12745396989482075}",25,5,-5.576955033782211,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
208,False,"{'a': 0.2, 'e': 0.12618578170503877}",35,25,16.676460080976334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.2, 'e': 0.12493021219858241}",30,10,17.221829997845465,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.2, 'e': 0.12368713581745483}",20,13,-6.304454207806181,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.2, 'e': 0.1224564282529819}",20,14,3.9806810464257243,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.2, 'e': 0.12123796643338168}",20,1,24.136337016301923,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.2, 'e': 0.12003162851145673}",20,8,0.012356394620490985,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
214,False,"{'a': 0.2, 'e': 0.11883729385240965}",30,0,31.9584815550218,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
215,False,"{'a': 0.2, 'e': 0.11765484302177918}",30,0,-37.874985031318474,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
216,False,"{'a': 0.2, 'e': 0.11648415777349697}",25,14,5.392359127048239,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.2, 'e': 0.11532512103806251}",25,0,-18.758440596617312,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
218,False,"{'a': 0.2, 'e': 0.1141776169108365}",20,14,9.208232566495377,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.2, 'e': 0.11304153064044985}",20,8,21.770710868481174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.2, 'e': 0.11191674861732888}",25,12,23.866782083251497,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
